"","folio","ginc_1_2","ginc_3","ginc_4","ginc_5","ginc_6","ginc_7","bin_telefono","bin_celular","bin_tvpaga","bin_conex_inte","bin_agua","bin_electricidad","coche","propiedad","piso_tierra","piso_cemento","piso_otro","bin_sex","share_h","share_ocup","hablaind","inst","prospera","adultom","rururb","tam_grande","tam_med","tam_medpeq","tam_peq","ent","mun","region","no_edu","kinder","primaria","secundaria","preparatoria","licenciatura","postgrado","factor","upm"
"83","0100100010799012890201",0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,1,0,808,6
"84","0100100010799012890501",0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0.5,0.5,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,1,0,0,0,0,1291,6
"85","0100100010799012910201",0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,"IMSS",0,0,0,1,0,0,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"86","0100100010799017910101",0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0.666666666666667,0,NA,0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,303,6
"87","0100100010799017910102",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0.5,0.25,0,"Otro",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,303,6
"88","0100100010799017910201",0,0,0,0,0,0,1,1,0,1,1,1,2,0,0,1,0,0,0.6,0.6,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1758,6
"89","0100100010799029910301",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0.5,0.5,0,"IMSS",1,0,0,0,0,1,0,"01","01001",3,0,0,0,0,1,0,0,1688,6
"90","0100100010799029910302",0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0.5,1,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,0,1,1120,6
"91","0100100010799029910401",0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0.5,0,0,NA,0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1315,6
"92","0100100010892001830201",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.6,0.6,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,808,6
"93","0100100010892001840201",1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0.333333333333333,0.333333333333333,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,1,0,0,0,1907,6
"94","0100100010892001850201",0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0.25,0.625,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,1,0,0,0,0,808,6
"95","0100100010892002830301",0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0.625,0.375,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,1,0,0,1688,6
"96","0100100010892002830501",0,0,1,0,0,0,0,1,1,1,1,1,2,1,0,0,1,1,0.666666666666667,0,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,1,0,0,1291,6
"97","0100100010892002840401",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.25,0.25,0,NA,0,0,0,0,0,1,0,"01","01001",3,0,0,1,0,0,0,0,1315,6
"98","0100100010892002850201",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.375,0.125,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,808,6
"99","0100100010892036830301",0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0.4,0.2,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,1,0,0,0,1688,6
