"","folio","index","sex","ethnicity","birth_region","father_educ","mother_educ","father_ocup"
"191","0100100011693055830502",2.41308317231207,1,0,3,1,1,"06"
"192","0100100011960003900101",5.69046324680761,1,0,6,9,9,"04"
"193","0100100011960003900201",6.06789726990436,0,0,1,6,6,"02"
"194","0100100011960003900301",3.20256963316101,1,0,6,17,17,"02"
"195","0100100011960011900201",5.74139995450287,0,0,6,6,0,"NT"
"196","0100100011960011900301",4.46483864584952,0,0,6,17,12,"NT"
"197","0100100011960011900401",6.60576169301516,0,0,6,6,6,"99"
"198","0100100011960020900101",3.67832988672761,1,0,6,17,6,"02"
"199","0100100011960020900401",3.81239696124533,1,0,6,17,17,"02"
"200","0100100011960020900501",5.11235019224546,0,0,6,6,6,"04"
"201","010010001198A017830201",3.57774441659712,0,0,6,11,15,"04"
"202","010010001198A017840201",2.00478039938427,0,0,6,12,9,"03"
"203","010010001198A017850101",-4.20145896203529,1,0,6,0,0,"09"
"204","010010001198A017850501",-1.09842649307041,0,0,6,6,6,"NT"
"205","010010001198A040830201",-0.197056982602101,0,0,6,0,0,"06"
"206","010010001198A040840401",6.41813587598779,0,0,6,17,17,"04"
"207","010010001198A048830501",-1.1775462263715,1,0,6,0,3,"04"
"208","010010001198A048840101",3.29650593594912,1,0,6,6,0,"02"
"209","0100100012066004890201",5.07196310808122,0,0,6,6,6,"07"
"210","0100100012066004890301",3.76514159051987,1,0,4,6,12,"07"
"211","0100100012066004900301",2.2593311364092,0,0,6,17,12,"02"
"212","0100100012066022890401",5.27514168609717,0,0,6,12,9,"04"
"213","0100100012066022900101",4.04148042118499,1,0,NA,9,6,"04"
"214","0100100012066022900401",0.542175666143502,1,0,6,0,0,"06"
"215","0100100012066030890102",-1.25712438969419,1,0,6,0,0,"04"
"216","0100100012066030890201",0.784859014333188,0,0,6,0,0,"07"
"217","0100100012066030890501",0.727277976264992,1,0,3,6,0,"06"
"218","0100100012085002830101",4.16544505946844,1,0,4,3,3,"06"
"219","0100100012085002830201",6.15334230887485,0,0,6,6,0,"07"
"220","0100100012085002830202",5.18222863733777,0,0,NA,0,3,"06"
"221","0100100012085012850201",1.67431363528441,0,0,NA,3,3,"04"
"222","0100100012085012850501",0.720840152754766,0,1,3,3,5,"04"
"223","0100100012085012850502",2.17967137043072,0,0,6,6,6,"04"
"224","0100100012085021830401",-1.56156593834259,0,0,6,17,12,"NT"
"225","0100100012085021840101",2.5173151245731,1,0,3,0,1,"08"
"226","0100100012085021840102",4.01990978956399,1,0,6,9,6,"08"
"227","0100100012085021840301",5.51021327194017,0,0,4,17,12,"02"
"228","0100100012117004910101",6.01065965847014,1,0,6,16,0,"02"
"229","0100100012117004910201",3.40391465111791,0,0,6,0,0,"02"
"230","0100100012117007910402",4.86351948983345,1,1,6,12,12,"02"
"231","0100100012117007910501",2.62729072138786,1,0,6,0,0,"NT"
"232","0100100012117021910101",5.26994130708989,1,0,6,16,12,"02"
"233","0100100012117021910201",3.9447305203263,0,0,6,0,6,"06"
"234","0100100012117021910301",5.30926080703876,1,0,6,16,16,"NT"
"235","0100100012121003830401",1.51678080322674,1,0,6,0,0,"07"
"236","0100100012121003850101",1.65522075262539,1,0,6,6,6,"08"
"237","0100100012121003850401",-2.2945216252939,0,0,6,2,1,"NT"
"238","0100100012121018850201",-1.36711021133758,0,0,6,0,3,"NT"
"239","0100100012121018850202",0.463046602308567,0,0,6,9,6,"NT"
"240","0100100012121018850501",-2.00101815789122,1,0,6,0,0,"07"
"241","0100100012121019830101",-1.15491380857527,1,0,2,0,0,"06"
"242","0100100012121019830102",0.60217402665229,1,0,6,3,9,"07"
"243","0100100012121019830301",-0.0281955503606417,1,0,6,0,6,"NT"
"244","0100100012210001900201",-2.01097958594262,0,0,6,0,0,"NT"
"245","0100100012210001900203",-1.00996594302285,0,0,6,0,0,"06"
"246","0100100012210001910201",1.67134665916901,0,0,6,0,0,"07"
"247","0100100012210006900101",-2.1856308689271,1,0,6,0,0,"09"
"248","0100100012210006910101",-2.377039137227,1,0,6,9,0,"07"
"249","0100100012210006910301",4.49315887145811,0,0,6,17,12,"02"
"250","0100100012210020890101",0.477061696626887,1,0,6,0,3,"02"
"251","0100100012210020900401",-3.37805422262792,0,0,6,5,0,"07"
"252","0100100012210020910501",-1.13145217645873,0,0,NA,0,0,"09"
"253","0100100012210020910502",-2.60415781189476,1,0,6,0,0,"NT"
"254","0100100012348001850201",-1.77533147032589,0,0,6,9,9,"99"
"255","0100100012348001850202",-1.84071252492081,0,0,6,6,6,"07"
"256","0100100012348001850301",1.1075407458849,0,0,6,17,15,"02"
