"","region","rururb","y_hat","index","sex","ethnicity","birth_region","father_educ","mother_educ","father_ocup","rank","sd_WC","ratio_WC","mean_","sd","sd_BC","ratio_BC","ratio","alpha","y","y_hat_BC_WC"
"950",2,1,2.18527221679688,-6.82952620709564,1,0,6,0,0,"06",44,0.0333855451764184,0.887528303760685,1.9484328162598,0.00605350088587212,0.0145234930357752,1.22860680097111,1.0342312542198,0.43011491975882,9960.94880020688,10301.9245708572
"951",2,1,2.34298706054688,-6.8736417260242,0,0,6,0,0,"09",54,0.0437835024568748,0.98878278709618,2.12682477367943,0.00675523854292266,0.0145234930357752,1.22860680097111,1.09193467358023,0.43011491975882,11662.6003644191,12734.7977220187
"952",2,1,2.32431030273438,-5.98367286104443,1,0,6,0,0,"09",52,0.0413325384170011,0.929126903600774,2.08924327338398,0.00613772616800664,0.0145234930357752,1.22860680097111,1.05793767562759,0.43011491975882,11446.802279114,12110.0033965345
"953",2,1,1.85842895507812,-6.64616642374423,1,0,6,0,0,"06",23,0.0208456604742017,0.768348531989378,1.54086579394071,0.00522109502639424,0.0145234930357752,1.22860680097111,0.966312480420787,0.43011491975882,7183.80413382509,6941.79959141363
"954",2,1,3.08016967773438,-0.471171284686799,0,0,6,0,0,"06",87,0.0509421143567666,1.34152639651055,2.97465611710677,0.0106014084009582,0.0145234930357752,1.22860680097111,1.2929579937359,0.43011491975882,24375.2869485277,31516.2221097052
"955",2,1,3.67630004882812,-3.02357202327746,0,1,6,16,16,"02",98,0.136591413330237,2.28359869027603,3.7630437137185,0.0446015459327066,0.0145234930357752,1.22860680097111,1.82983093846143,0.43011491975882,44243.1324330269,80957.4525403989
"956",2,0,3.82315063476562,4.46483864584952,0,0,6,0,9,"07",99,0.162928479905072,2.64929605874402,3.98687598520153,0.0890829864651182,0.0145234930357752,1.22860680097111,2.0382364126348,0.43011491975882,67322.9291361543,137220.045570542
"957",2,0,2.37905883789062,-2.95915296068516,1,0,6,0,0,"06",56,0.0364256410346163,0.967675177368056,2.16743528928598,0.00539172719751613,0.0145234930357752,1.22860680097111,1.07990576171662,0.43011491975882,15885.5371511057,17154.8830974425
"958",2,0,3.41006469726562,1.59231471718401,0,0,6,0,0,"NT",95,0.106339610709871,1.81955918406035,3.43443871158777,0.0246218557962271,0.0145234930357752,1.22860680097111,1.56538174722663,0.43011491975882,44541.2150537379,69724.0050444173
"959",2,0,2.78451538085938,1.92825952745681,0,0,6,0,12,"NT",78,0.0436734070219418,1.12258350402994,2.66509507125437,0.0104388160081945,0.0145234930357752,1.22860680097111,1.16818570588636,0.43011491975882,23828.101634772,27835.6477281481
"960",2,0,2.36044311523438,2.44267801035199,0,0,6,0,0,"02",55,0.0443656370002237,1.00629727343358,2.14725760084326,0.00551086216845779,0.0145234930357752,1.22860680097111,1.101915918032,0.43011491975882,15592.5519241205,17181.6811679289
"961",2,0,3.29550170898438,0.960968620930584,1,0,6,0,9,"05",93,0.087048927393263,1.93387623481405,3.29209111009689,0.019799080505746,0.0145234930357752,1.22860680097111,1.63052932886834,0.43011491975882,39719.8853704652,64764.438035832
"962",2,0,2.85623168945312,1.5203330845386,1,0,6,0,0,"09",81,0.0477818429449088,1.27233494194172,2.76111343626444,0.0106236769643622,0.0145234930357752,1.22860680097111,1.25352681609694,0.43011491975882,25599.7333061211,32089.9521841528
