,0
328,3.0349748
329,3.4465802
330,1.3372087
331,2.0419507
332,2.213515
333,2.576938
334,1.880046
335,2.264119
336,2.264119
337,2.154594
338,2.5081635
339,2.5081635
340,2.6578484
341,2.6578484
342,3.5891593
343,3.5891593
344,2.406711
345,2.7909265
346,2.7787883
347,2.786721
348,1.5693254
349,2.7145724
350,2.7145724
351,2.594169
352,1.7650039
353,2.7230453
354,1.0702353
355,1.3949298
356,2.2118876
357,2.4119425
358,2.375816
359,2.52088
360,2.075031
361,2.1043262
362,2.380386
363,1.8157605
364,1.9862671
365,1.9911152
366,2.6003444
367,1.6511757
368,2.6736138
369,2.6237805
370,2.4840717
371,2.7426474
372,2.1424072
373,2.231401
374,2.2086656
375,2.1505117
376,2.4407003
377,2.6380265
378,3.2896702
379,3.078558
380,3.3345323
381,3.2408996
382,1.7003754
383,1.8094375
384,1.4562329
385,2.664694
386,1.7141901
387,1.7403187
388,1.444376
389,2.1877363
390,2.7091236
391,2.4122546
392,2.7539158
393,2.9867067
394,2.9561598
395,2.068006
396,2.0233657
397,2.1230571
398,2.1182015
399,2.9477177
400,2.664694
401,1.6948776
402,2.375413
403,1.7873048
404,2.3783717
405,2.0583863
406,1.330368
407,2.617993
408,1.169794
409,2.0987802
410,2.4954722
411,2.873554
412,2.201802
413,1.4717997
414,1.7816377
415,1.5552435
416,2.1552224
417,2.220904
418,1.1641068
419,2.164538
420,2.4897897
421,2.1900785
422,2.6541328
423,1.4483222
424,2.19611
425,1.816668
426,1.6521502
427,1.9850799
428,2.5372672
429,2.6086729
430,2.3807647
431,1.6287104
432,1.6276073
433,2.16393
434,3.490408
435,2.1856487
436,2.7941415
437,1.9653835
438,1.6954551
439,2.3704627
440,2.3387325
441,2.2944775
442,2.4523222
443,2.1387906
444,1.910314
445,2.0087934
446,2.3401046
447,2.0762913
448,2.6085315
449,1.7791902
450,2.2118754
451,1.5597125
452,2.7864654
453,2.6037285
454,2.0638742
455,2.327231
456,2.9811032
457,2.0529127
458,2.287598
459,2.8645296
460,1.4551923
461,1.6838274
462,2.1043527
463,1.8788571
464,1.8869132
465,1.8987188
466,2.0889666
467,1.7718765
468,2.2577562
469,2.8692892
470,1.9789603
471,2.158608
472,3.223726
473,3.289189
474,2.9588404
475,2.7021594
476,2.4457643
477,2.8529973
478,2.7260544
479,2.2067363
480,2.8490212
481,2.457211
482,1.8057977
483,2.7593286
484,1.6945944
485,1.8918462
486,2.7148876
487,2.3030362
488,2.4450288
489,2.1518426
490,1.6201055
491,1.6795043
492,1.8015504
493,2.5058756
494,1.6936723
495,2.348418
496,2.1355789
497,2.0035384
498,2.3583748
499,1.8545878
500,2.1424804
501,2.029596
502,3.095593
503,2.1187863
504,1.8566033
505,2.8448389
506,1.4801769
507,1.9744637
508,1.7415303
509,2.0893915
510,2.0918887
511,1.6671396
512,1.8868431
513,1.3440496
514,2.206166
515,2.304505
516,2.6578484
517,2.6578484
518,2.0249076
519,2.876661
520,2.876661
521,1.9119439
522,1.9119439
523,2.2426589
524,2.2426589
525,2.4099169
526,2.7202847
527,2.7202847
528,2.9888473
529,2.3019528
530,2.511108
531,1.8644686
532,2.0540822
533,2.0921862
534,1.8695761
535,2.7310386
536,2.449848
537,2.7705579
538,1.8583528
539,2.4173791
540,2.4173791
541,2.1678417
542,2.3906522
543,2.5410578
544,2.1696846
545,2.5730972
546,2.4926877
547,2.3925483
548,1.3465713
549,2.3786044
550,3.0524526
551,2.9641647
552,3.175078
553,3.7258642
554,2.4296768
555,3.1056268
556,3.7271605
557,2.4126527
558,2.3541949
559,3.5813124
560,2.7047844
561,2.442789
562,2.442789
563,2.0257854
564,2.901154
565,2.5248208
566,2.5248208
567,2.498686
568,3.3724868
569,2.4510293
570,3.4227028
571,2.8578274
572,2.8244762
573,2.8868597
574,2.320882
575,3.1209767
576,3.1209767
577,2.084068
578,2.7168431
579,3.1539128
580,2.7058198
581,2.6924553
582,3.0954943
583,2.2245445
584,3.1975846
585,2.652052
586,2.3054004
587,2.1520839
588,1.8247547
589,2.160877
590,1.9496338
591,2.7365363
592,2.1553621
593,2.0217774
594,1.8322339
595,2.315104
596,2.3382776
597,2.1145961
598,1.7883915
599,2.7528002
600,2.2415607
601,2.2308905
602,2.0623758
603,2.1983478
604,2.356158
605,2.2625127
606,2.5679247
607,2.2757463
608,2.083086
609,1.7129236
610,2.2389286
611,1.6284528
612,3.1923594
613,1.9484205
614,3.0035276
615,1.5261259
616,2.3559334
617,2.346975
618,2.4918504
619,2.2426589
620,2.2426589
621,2.4799368
622,1.515247
623,2.9311025
624,1.7460754
625,2.1561644
626,2.4333873
627,2.7338946
628,2.516598
629,2.194784
630,2.506632
631,1.4239035
632,3.1236262
633,2.8422952
634,2.212259
635,2.7464256
636,2.3236036
637,2.8749225
638,2.0450947
639,2.7573159
640,1.5436308
641,2.456345
642,2.083523
643,3.0299537
644,2.3866594
645,3.1528842
646,2.423569
647,2.7202847
648,2.7202847
649,2.1300046
650,2.876661
651,2.876661
652,2.4181964
653,1.5511508
654,1.4130387
655,1.0644948
656,1.6213331
657,3.1429565
658,3.1729407
659,3.8164742
660,3.174156
661,3.1075375
662,2.9958248
663,2.6782768
664,2.5943322
665,1.6410319
666,1.947727
667,1.947727
