"","y","ginc_1_2","ginc_3","ginc_4","ginc_5","ginc_6","ginc_7","bin_telefono","bin_celular","bin_tvpaga","bin_conex_inte","bin_agua","bin_electricidad","bin_sex","coche","propiedad","piso_tierra","piso_cemento","piso_otro","share_h","share_ocup","inst_IMSS","inst_IMSS Prospera","inst_ISSSTE","inst_Otro","inst_PEMEX","hablaind","prospera","adultom","tam_grande","tam_med","tam_medpeq","tam_peq","no_edu","kinder","primaria","secundaria","preparatoria","licenciatura","postgrado","ent_01","ent_02","ent_03","ent_04","ent_05","ent_06","ent_07","ent_08","ent_09","ent_10","ent_11","ent_12","ent_13","ent_14","ent_15","ent_16","ent_17","ent_18","ent_19","ent_20","ent_21","ent_22","ent_23","ent_24","ent_25","ent_26","ent_27","ent_28","ent_29","ent_30","ent_31","ent_32","folio"
"5522",1.5409865168206,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0.4,0.4,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"27608377031-----"
"5523",1.62259854503762,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0.285714285714286,0.428571428571429,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16604908181-----"
"5524",0.871835234796018,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0.5,0.5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"30005497061-----"
"5525",1.85726289303255,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11049887011-----"
"5526",2.63301272121897,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0.75,0.75,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"02604160111-----"
"5527",2.50272717767372,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"22601055201-----"
"5528",3.3257957245383,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0.666666666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18004585051-----"
"5529",0.99903798253622,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0.6,0.2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06012700041-----"
"5530",2.78923146452986,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17016544021-----"
"5531",3.09177201930986,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0.5,0.75,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"02600484091-----"
